
,,,B_A_7,ASSUMP_UID_COLUMNS,,,,,,B_M_1,,,,,,,,,,,,,,Project Name:,,Red Pricing Project Name,,,,,,,BESSPower OMNI,,,,,,,BESSPower,,,,,,,Vulcan Solar,,,,,,,Vulcan Solar,,,,,,,Vulcan Solar,,,,,,,Vulcan Solar,,,,,,
,,,B_A_4,,,,,,,B_M_2,,,,,,,,,,,,,,,,NEER - PPA,POI (MW),Column:,L,,Working Model,,NEER - PPA,POI (MW),Column:,M,,Working Model,,NEER - PPA,POI (MW),Column:,N,,Working Model,,NEER - PPA,POI (MW),Column:,O,,Working Model,,NEER - PPA,POI (MW),Column:,P,,Working Model,,NEER - PPA,POI (MW),Column:,Q,,Working Model,,NEER - PPA,POI (MW),Column:,R,,Working Model,
,,,B_A_46,B_A_19,,B_A_26,,B_A_10,,B_M_3,,,,,,,,,,,,,,,,Liquid-Cooled,100,Battery,CATL 4.1,,ROM,,Liquid-Cooled,100,Battery,CATL 4.1,,ROM,,Liquid-Cooled,100,Battery,CATL 4.1,,ROM,,Liquid-Cooled,800,Battery,CATL 4.1,,ROM,,Liquid-Cooled,250,Battery,CATL 4.1,,ROM,,Liquid-Cooled,550,Battery,CATL 4.1,,ROM,,Liquid-Cooled,800,Battery,CATL 4.1,,ROM,
,,,,B_A_75,,B_A_20,,,,B_M_4,,,,,,,,,,,,,,,,# PV Inv:,0,Minimum Equipment Rating (MVA),111.00,,T-Line,,# PV Inv:,0,Minimum Equipment Rating (MVA),111.00,,T-Line,,# PV Inv:,0,Minimum Equipment Rating (MVA),106,,T-Line,,# PV Inv:,0,Minimum Equipment Rating (MVA),824,,T-Line,,# PV Inv:,0,Minimum Equipment Rating (MVA),257.50,,T-Line,,# PV Inv:,0,Minimum Equipment Rating (MVA),566.50,,T-Line,,# PV Inv:,0,Minimum Equipment Rating (MVA),824,,T-Line,
,,,,,,B_A_21,,B_A_105,,B_M_5,,,,,,,,,,,,,,,,Augment w/,Safe Harbor?,Installed Equipment Rating (MVA),120.90,,0,,Augment w/,Safe Harbor?,Installed Equipment Rating (MVA),120.90,,0,,Augment w/,Safe Harbor?,Installed Equipment Rating (MVA),124.80,,0,,Augment w/,Safe Harbor?,Installed Equipment Rating (MVA),963.30,,0,,Augment w/,Safe Harbor?,Installed Equipment Rating (MVA),302.25,,0,,Augment w/,Safe Harbor?,Installed Equipment Rating (MVA),662.02,,0,,Augment w/,Safe Harbor?,Installed Equipment Rating (MVA),962.32,,0,
,,,B_A_45,B_A_76,,B_A_24,,,,B_M_6,,,,,,,BESS MODEL TAB,,,,,,,,,EnerOne for Augmentation,No,Initial Capacity (MWh),505.05,,Miles,,EnerOne for Augmentation,No,Initial Capacity (MWh),505.05,,Miles,,EnerOne for Augmentation,No,Initial Capacity (MWh),521.34,,Miles,,EnerOne for Augmentation,No,Initial Capacity (MWh),4024.12,,Miles,,EnerOne for Augmentation,No,Initial Capacity (MWh),1262.63,,Miles,,EnerOne for Augmentation,No,Initial Capacity (MWh),2765.57,,Miles,,EnerOne for Augmentation,No,Initial Capacity (MWh),4020.05,,Miles,
,,,,B_A_67,,B_A_42,,,,B_M_7,,,,,,,,,,,,,,,,Array Aux,0,Installation Location Type,New Yard,,Total Capacity (MWh),,Array Aux,0,Installation Location Type,New Yard,,Total Capacity (MWh),,Array Aux,0,Installation Location Type,Adjacent to Substation (Concurrent Build),,Total Capacity (MWh),,Array Aux,0,Installation Location Type,Adjacent to Substation (Concurrent Build),,Total Capacity (MWh),,Array Aux,0,Installation Location Type,Adjacent to Substation (Concurrent Build),,Total Capacity (MWh),,Array Aux,0,Installation Location Type,Adjacent to Substation (Concurrent Build),,Total Capacity (MWh),,Array Aux,0,Installation Location Type,Adjacent to Substation (Concurrent Build),,Total Capacity (MWh),
,,,,B_A_106,,B_A_84,,B_A_25,,B_M_8,,,,,,,,,,,,,,,,T-Line ROW,50,"Access Rd, Ft",500,,706.65,,T-Line ROW,50,"Access Rd, Ft",0,,706.65,,T-Line ROW,50,"Access Rd, Ft",0,,667.82,,T-Line ROW,50,"Access Rd, Ft",500,,4822.43,,T-Line ROW,50,"Access Rd, Ft",500,,1511.08,,T-Line ROW,50,"Access Rd, Ft",500,,3319.50,,T-Line ROW,50,"Access Rd, Ft",500,,4818.36,
,,,B_A_72,,,B_A_16,,,,B_M_9,,,,,,,,,,,,,,,,FP4200M,# PCU,Battery App.,Energy,,# of Containers / BLDG SF,,FP4200M,# PCU,Battery App.,Energy,,# of Containers / BLDG SF,,FP4200M,# PCU,Battery App.,Energy,,# of Containers / BLDG SF,,FP4200M,# PCU,Battery App.,Energy,,# of Containers / BLDG SF,,FP4200M,# PCU,Battery App.,Energy,,# of Containers / BLDG SF,,FP4200M,# PCU,Battery App.,Energy,,# of Containers / BLDG SF,,FP4200M,# PCU,Battery App.,Energy,,# of Containers / BLDG SF,
,,,B_A_59,B_A_60,,B_A_62,,,,B_M_10,,,,,,,,,,,,,,,,3.900,31,Inverter Loc.,Outside Battery Container,,124,,3.900,31,Inverter Loc.,Outside Battery Container,,124,,3.900,32,Inverter Loc.,Outside Battery Container,,128,,3.900,247,Inverter Loc.,Outside Battery Container,,988,,3.900,78,Inverter Loc.,Outside Battery Container,,310,,3.900,170,Inverter Loc.,Outside Battery Container,,679,,3.900,247,Inverter Loc.,Outside Battery Container,,987,
,,,,,B_A_33,,,B_A_56,,B_M_11,,,,,,,,,,,,,,,,Dist to Aux,Battery Price,215,Noise Reduction Req?,,No,,Dist to Aux,Battery Price,215,Noise Reduction Req?,,No,,Dist to Aux,Battery Price,160,Noise Reduction Req?,,No,,Dist to Aux,Battery Price,160,Noise Reduction Req?,,No,,Dist to Aux,Battery Price,160,Noise Reduction Req?,,No,,Dist to Aux,Battery Price,160,Noise Reduction Req?,,No,,Dist to Aux,Battery Price,160,Noise Reduction Req?,,No,
