,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S_M_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,UNIFIER CBS CODES & CATEGORIES,,,,,,,,,,,USED FOR SS CALCULATIONS,,,,,,,,,,,CAN PRICING,,,,,,,USA PRICING,,,,,S_A_5,ASSUMP_UID_COLUMNS,,,,,,S_M_1,,,,,,,,,,,,,,,S_M_1_1,Red Pricing Project Name,,,,,,,Jafe S-Power 200,,,,,,,Jafe S-Power 80,,,,,,,Roundhouse Solar,,,,,,,Roundhouse Solar,,,,,,,Red Pricing Project Name,,,,,,,Step 0 Template Updates,,,,,,,Step 1: Maturity Index,,,,,,,Step 1: COD,,,,,,,Step 2: Modules & Pricing & SH,,,,,,,Step 2: O&M Bldg Smaller,,,,,,,Step 4: Kv115 to 35,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S_A_8,,,,,S_A_112,,S_M_2,,,,,,,,,,,,,,,,Universal,Project Team,,,BESS?:,No,,Universal,Project Team,,,BESS?:,No,,Universal,Project Team,,,BESS?:,No,,Universal,Project Team,,,BESS?:,No,,Universal,Project Team,,,BESS?:,No,,Universal,Project Team,,,BESS?:,No,,Universal,Project Team,,,BESS?:,No,,Universal,Project Team,,,BESS?:,No,,Universal,Project Team,,,BESS?:,No,,Universal,Project Team,,,BESS?:,No,,Universal,Project Team,,,BESS?:,No,,Universal,Project Team,,,BESS?:,No,,,Project Team,,,BESS?:,,,
,,,,,,,,,,,,,,,,,,,,,,,,Column __,,,,,,,,,,,,,,,,,,,,,S_M_3,,,,,Assump Column,,,,,,,,,,,Module Info,,H,<-- Assump Column,,,,Module Info,,I,<-- Assump Column,,,,Module Info,,J,<-- Assump Column,,,,Module Info,,K,<-- Assump Column,,,,Module Info,,L,<-- Assump Column,,,,Module Info,,M,<-- Assump Column,,,,Module Info,,N,<-- Assump Column,,,,Module Info,,O,<-- Assump Column,,,,Module Info,,P,<-- Assump Column,,,,Module Info,,Q,<-- Assump Column,,,,Module Info,,R,<-- Assump Column,,,,Module Info,,S,<-- Assump Column,,,,Module Info,,T,<-- Assump Column,,,,
,,,,,,,,,,,,,,,,,,,,,,,,GE,,,,,,,,,,,,,,S_A_68,,,S_A_18,,,,S_M_4,C,C,C,,,,,,,,,,,,,S-Track,Module,,200,Mwe Normal,,,S-Track,Module,,200,Mwe Normal,,,S-Track,Module,,80,Mwe Normal,,,S-Track,Module,,80,Mwe Normal,,,S-Track,Module,,80,Mwe Normal,,,S-Track,Module,,200,Mwe Normal,,,S-Track,Module,,80,Mwe Normal,,,S-Track,Module,,80,Mwe Normal,,,S-Track,Module,,80,Mwe Normal,,,S-Track,Module,,80,Mwe Normal,,,S-Track,Module,,80,Mwe Normal,,,S-Track,Module,,80,Mwe Normal,,,,Module,,,Mwe Normal,,,
,,,,,,,,,,,,,,,,,,,,,,,,1.6,T-Line,,,,,,,,,,,,,S_A_70,,,S_A_58,,,,S_M_5,,,,,,,,,,,,,,,,Portrait 1,Orientation,,1.2378,DC/AC Inverter Load Ratio,,,Portrait 1,Orientation,,1.2378,DC/AC Inverter Load Ratio,,,Portrait 1,Orientation,,1.1710,DC/AC Inverter Load Ratio,,,Portrait 1,Orientation,,1.1710,DC/AC Inverter Load Ratio,,,Portrait 1,Orientation,,1.1710,DC/AC Inverter Load Ratio,,,Portrait 1,Orientation,,1.2378,DC/AC Inverter Load Ratio,,,Portrait 1,Orientation,,1.1710,DC/AC Inverter Load Ratio,,,Portrait 1,Orientation,,1.2242,DC/AC Inverter Load Ratio,,,Portrait 1,Orientation,,1.1710,DC/AC Inverter Load Ratio,,,Portrait 1,Orientation,,1.2242,DC/AC Inverter Load Ratio,,,Portrait 1,Orientation,,1.1710,DC/AC Inverter Load Ratio,,,Portrait 1,Orientation,,1.2242,DC/AC Inverter Load Ratio,,,,Orientation,,,DC/AC Inverter Load Ratio,,,
,,,,,,,,,,,,,,,,,,,,,,,,63,5,,,,,,,,,,,,,S_A_69,,,S_A_63,,,,S_M_6,,,,,,,,,,,,,,,,Jafe Dist,Tracker,,3.90,PCU Size (MVA),,,Jafe Dist,Tracker,,3.90,PCU Size (MVA),,,Jafe Dist,Tracker,,4.01,PCU Size (MVA),,,Jafe Dist,Tracker,,4.01,PCU Size (MVA),,,Jafe Dist,Tracker,,4.01,PCU Size (MVA),,,Jafe Dist,Tracker,,3.90,PCU Size (MVA),,,Jafe Dist,Tracker,,4.01,PCU Size (MVA),,,Jafe Dist,Tracker,,4.01,PCU Size (MVA),,,Jafe Dist,Tracker,,4.01,PCU Size (MVA),,,Jafe Dist,Tracker,,4.01,PCU Size (MVA),,,Jafe Dist,Tracker,,4.01,PCU Size (MVA),,,Jafe Dist,Tracker,,4.01,PCU Size (MVA),,,Jafe Dist,Tracker,,,PCU Size (MVA),,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S_A_74,,,S_A_94,,,,S_M_7,,,,,,,,,,,,,,,,0,Rack Tilt,,58,Number of PCU,,,0,Rack Tilt,,58,Number of PCU,,,0,Rack Tilt,,23,Number of PCU,,,0,Rack Tilt,,23,Number of PCU,,,0,Rack Tilt,,23,Number of PCU,,,0,Rack Tilt,,58,Number of PCU,,,0,Rack Tilt,,23,Number of PCU,,,0,Rack Tilt,,22,Number of PCU,,,0,Rack Tilt,,23,Number of PCU,,,0,Rack Tilt,,22,Number of PCU,,,0,Rack Tilt,,23,Number of PCU,,,0,Rack Tilt,,22,Number of PCU,,,,Rack Tilt,,#VALUE!,Number of PCU,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S_A_21,,,S_A_61,,,,S_M_8,,,,,,,,,,,,,,,,0.4,GCR ,Manuf/Size,3.90,(Mwe) Inverter Size,,,0.4,GCR ,Manuf/Size,3.90,(Mwe) Inverter Size,,,0.34,GCR ,Manuf/Size,4.01,(Mwe) Inverter Size,,,0.34,GCR ,Manuf/Size,4.01,(Mwe) Inverter Size,,,0.34,GCR ,Manuf/Size,4.01,(Mwe) Inverter Size,,,0.4,GCR ,Manuf/Size,3.90,(Mwe) Inverter Size,,,0.34,GCR ,Manuf/Size,4.01,(Mwe) Inverter Size,,,0.34,GCR ,Manuf/Size,4.01,(Mwe) Inverter Size,,,0.34,GCR ,Manuf/Size,4.01,(Mwe) Inverter Size,,,0.34,GCR ,Manuf/Size,4.01,(Mwe) Inverter Size,,,0.34,GCR ,Manuf/Size,4.01,(Mwe) Inverter Size,,,0.34,GCR ,Manuf/Size,4.01,(Mwe) Inverter Size,,,,GCR ,Manuf/Size,,(Mwe) Inverter Size,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S_A_36,S_A_53,,S_A_60,,,,S_M_9,,,,,,,,,,,,,,,,BYD_NLBK36_MC_BF_570,Central,,FS4200M,Manufacture,,,BYD_NLBK36_MC_BF_570,Central,,FS4200M,Manufacture,,,BYD_NLBK36_MC_BF_570,Central,,FS4010M,Manufacture,,,BYD_NLBK36_MC_BF_570,Central,,FS4010M,Manufacture,,,BYD_NLBK36_MC_BF_555,Central,,FS4010M,Manufacture,,,BYD_NLBK36_MC_BF_570,Central,,FS4200M,Manufacture,,,BYD_NLBK36_MC_BF_570,Central,,FS4010M,Manufacture,,,BYD_MLTK_MC_BF_555,Central,,FS4010M,Manufacture,,,BYD_NLBK36_MC_BF_570,Central,,FS4010M,Manufacture,,,BYD_NLBK36_MC_BF_570,Central,,FS4010M,Manufacture,,,BYD_NLBK36_MC_BF_570,Central,,FS4010M,Manufacture,,,BYD_NLBK36_MC_BF_570,Central,,FS4010M,Manufacture,,,,,,,Manufacture,,,
