,,W_A_0,,,,,,,,,,,,,,,
,MODEL_UID_COLUMN,W_A_1,,Skibinski,Estimator,,,,,,,,,,,,
,,W_A_2,,Schajatovic,Project Manager,,,,,,,,,,,,
,,W_A_3,,Estimate Status,Ver.,Price Rev Date,Release,,,,,,,,,,
,,W_A_4,,Estimate Date,A,01/25/2024,01-30-24,,,,,,,,,,
,,W_A_5,See Notes Below,Project Name,,,WA Odie 298.92MW 2028PPA,,,,,,,,,,
,,W_A_6,,Proposal Name,,,Proposal 1,,,,,,,,,,
,,W_A_7,,Scenario Name,,,Scenario 1,,,,,,,,,,
,,W_A_403,,E&C Scenario Name,,,E&C Scenario Name 1,,,,,,,,,,
,,W_A_407,Need,Project Number,,,C4.006171,,,,,,,,,,
,,W_A_408,Need,Project ID,,,,,,,,,,,,,
,,W_A_409,,Proposal ID,,,,,,,,,,,,,
,,W_A_410,,Scenario ID,,,,,,,,,,,,,
,,W_A_8,Need,Date of Request,,,01-16-24,,,,,,,,,,
,,W_A_9,Need,Date Product Needed,,,01-30-24,,,,,,,,,,
,,W_A_10,,Estimate Update for Build Year,,,2028 Build,,,,,,,,,,
,,W_A_11,,What Type of estimate,,,OOM,,,,,,,,,,
,,W_A_12,,Project Information,,Ref Column,AC,,,,,,,,,,
,,W_A_411,,Project Maturity Index,,,Diligencing,,,,,,,,,,
,,W_A_13,,"Project Location, State",,,WA,,,,,,,,,,
,,W_A_14,,"Project Location, County",,,,,,,,,,,,,
,,W_A_15,,"Name Plate Rating, Mwe (Nominal)",,,298.92,,,,,,,,,,
,,W_A_16,,Independent System Operator / Regional Transmission Organization,,,None,,,,,,,,,,
,,W_A_17,,Interconnecting Utility,,,Other,,,,,,,,,,
,,W_A_18,,NCF,,,,,,,,,,,,,
,,W_A_19,,Collection Yard Latitude:,,,46.48476°,,,,,,,,,,
,,W_A_20,,Collection Yard Longitude:,,,"117.497492°
",,,,,,,,,,
,,W_A_21,,Collection Yard Elevation:,,,2386,,,,,,,,,,
,,W_A_22,,"Schedule, Construction",,T-Line Off/On,219,,,,,,,,,,
,,W_A_23,,Earliest Start Date (site work),,,04-26-28,,,,,,,,,,
,,W_A_24,,First WTG Delivered,,,07-19-28,,,,,,,,,,
,,W_A_25,,Backfeed Power Date (Sub In Service),,,08-09-28,,,,,,,,,,
,,W_A_26,,Intended COD,,,12-01-28,,,,,,,,,,
,W_M_746,W_A_27,,"WTG Erection ""Crane Sets"" (overide default)",,,3,,,,,,,,,,
,W_M_302,W_A_28,,Winter Construction,,,No,,,,,,,,,,
,W_M_761,W_A_29,,Number of Crane Breakdowns (Full equivalant),,,23,,,,,,,,,,
,W_M_1050,W_A_30,,Number of WTG Erection Wind Days,,,11,,,,,,,,,,
,,W_A_31,,"Wind Turbines, Primary",,,GE-2.82-127-89,,,,,,,,,,
,,W_A_32,,"Number of Turbines, Primary",,,106,,,,,,,,,,
,,W_A_33,,Turbine Manufacture,,,GE,,,,,,,,,,
,,W_A_34,,Turbine Size / MWe (Nominal),,,2.82,,,,,,,,,,
,,W_A_35,,Turbine Rotor Dia (Meters),,,127,,,,,,,,,,
,,W_A_36,,Type of Blades,,,Mono,,,,,,,,,,
,,W_A_37,,Turbine Tower Height (Meters),,,89,,,,,,,,,,
,,W_A_38,,Type of Tower,,,Mono,,,,,,,,,,
,,W_A_39,,"Wind Turbines, Secondary",,,GE-2.82-127-89,,,,,,,,,,
,,W_A_40,,"Number of Turbines, Secondary",,,0,,,,,,,,,,
,,W_A_41,,Turbine Manufacture Secondary,,,GE,,,,,,,,,,
,,W_A_42,,Turbine Size / MWe (Nominal) Secondary,,,2.82,,,,,,,,,,
,,W_A_43,,Turbine Rotor Dia (Meters) Secondary,,,127,,,,,,,,,,
,,W_A_44,,Type of Blades Secondary,,,Mono,,,,,,,,,,
,,W_A_45,,Turbine Tower Height (Meters) Secondary,,,89,,,,,,,,,,
,,W_A_46,,Type of Tower Secondary,,,Mono,,,,,,,,,,
,,W_A_47,,Total Turbines,,,106,,,,,,,,,,
,,W_A_48,Need,Aircraft Detection Lighting System Required?,,,Yes,,,,,,,,,,
,,W_A_49,Does not effect Estimate Details at this time,"Array Type, Layout",,,Scattered,,,,,,,,,,
,,W_A_50,,Date of Array,,,01/12/24,,,,,,,,,,
,,W_A_51,,Terrain,,,Steep Hills,,,,,,,,,,
,,W_A_52,,"WTG Spacing, Ft (""Crow Fly"" Avg per WTG)",,,3361,,,,,,,,,,
,,W_A_53,,"Paul's Layout Factor ""Roads""",,,0.63017,,,,,,,,,,
,,W_A_54,,"Paul's Layout Factor ""Electrical""",,,1.558296,,,,,,,,,,
,,W_A_55,Use only for Adjusting WinPower,Terrain Factor = 1.0 Untill Completed,,,1,,,,,,,,,,
,,W_A_56,,Roads,,,,,,,,,,,,,
,,W_A_57,,"Service Road, Ft (Avg per WTG)",,,2118,,,,,,,,,,
