,,,,,,,,,,,,,,W_M_0,,,,,,,,,,,,,,,,,,,,
,UNIFIER CBS CODES & CATEGORIES,,,,,,W_A_5,ASSUMP_UID_COLUMNS,,,,,,W_M_1,,,,,,,,,,,,,,WA Odie 298.92MW 2028PPA,,,,,,
,,,,,,,W_A_31,,,,,W_A_5,,W_M_2,,,,,,,,,,,,,,GE-2.82-127-89,,AC,< --Column,,WA Odie 298.92MW 2028PPA,
,,,,,,,W_A_39,,,W_A_33,,W_A_3,,W_M_3,,,,,,,,,,,,,,GE-2.82-127-89,,WTG's,GE,,Release,
,,,,,,,,,,W_A_34,,,,W_M_4,,,,,,,,,,,,,,Blade Type,,Mwe Normal,2.82,,T-Line,
,,,,,,,W_A_36,,,W_A_47,,W_A_120,,W_M_5,,,,,,,,,,,,,,Mono,,# of WTG's,106,,15,
,,,,,,,,,,W_A_57,,,,W_M_6,,,,,,,,,,,,,,,,"WTG Spacing, Roads Ft",2118,,Miles,
,,,,,,,,,,W_A_55,,,,W_M_7,,,,,,,,,,,,,,,,Terrian Factor,1,,Gravel Pit,
,,,,,,,,,,W_A_58,,W_A_63,,W_M_8,,,,,,,,,,,,,,,,"Access Road, Ft",0,,No,
,,,,,,,,,,W_A_59,,W_A_69,,W_M_9,,,,,,,,,,,,,,,,Restore Roads ?,Yes,,No,
,,C,C,C,S,,,,,W_A_67,,,,W_M_10,S,S,L,,,,,,,,,,,,,"WTG Spacing, Collection Ft",2469,,Eng Fill,
,,B,B,B,O,,,,,W_A_68,,W_A_60,,W_M_11,U,U,B,,,,,,,,,,,,,"Collection $$HR, Ft",20961,,Farm Land,
,,S,S,S,V,,,,,W_A_35,,W_A_37,,W_M_12,B,M,R,,,,,,,,,,,,,Rotor Dia/TWR Heigth,127,,89,
,,,,,,,W_A_15,,,W_A_71,,W_A_38,,W_M_13,J,M,,,,,,,,,,,,298.92,,Homeruns,14,,Mono,
,,S,S,S,C,,W_A_155,,,W_A_70,,W_A_4,,W_M_14,E,A,C,,,,,,,,,,,Takeoffs,Basis of Data:,LV Brkr,3,,01/30/24,
,,E,E,E,A,,,,,W_A_23,,W_A_11,,W_M_15,C,R,O,,,,,,,,,,,,Estimate Type:,Site,04/26/28,,OOM,
,,G,G,G,T,,,,,W_A_24,,,,W_M_16,T,Y,D,,,,,,,,,,,,Estimate Version:,WTG,07/19/28,,Crow Fly (Ft.),
,,M,M,M,E,,,,,W_A_25,,W_A_52,,W_M_17,,,E,,,Cell to Copy for Scaling,,,,,C,,,COD,Revision Number:,BFeed,08/09/28,,3361,
,,E,E,E,G,,,,,W_A_26,,W_A_141,,W_M_18,C,C,,,,0,,,,,or,,,2028,Site Craft Labor Basis:,COD,12/01/28,,Union,
,,N,N,N,O,,,,,W_A_13,,W_A_140,,W_M_19,O,O,C,,,,Proj. Loc. (State):,,,,US,,,,State/Terrain,Contractor,WA,,Q3 2023 Model,
,,T,T,T,R,,,,,W_A_81,,W_A_51,,W_M_20,D,D,H,,,This Estimated is in,US Dollars Base,At an exchange rate of,,,,,,Manual,USA,Soils,"4 - Hard Clays/Sands, Glacial till",,Steep Hills,
,,1,2,3,Y,,,W_A_106,W_A_142,W_A_82,,,,W_M_21,E,E,K,,,,,,,,,,,QTY's,500,1.254302,"3 - Dense Sands/Clays, Weathered Shales",,TOTAL,
