
,,,,Wind Pre-Estimation Sheet,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,05-22-23,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Template Date: 05/18/2023-A,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Active,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,,,,,,,,,,,
,Assump Tab UID,UID,Req/Opt,Variable Name,Red Pricing (ROM),Option 1,Option 2,Option 3,Option 4,Option 5,Option 6,Option 7,Option 8,Option 9,Option 10,Example,Notes,Lock Early,Lock Estimate,Initial Source,Ultimate Source,Retired Variable Names,,,,,,,
,,W_ER_1,,Estimate Request,,,,,,,,,,,,,,,,,,,,,,,,,
,W_A_5,W_ER_2,Req,Project Name,Example Project Name,Odie Wind,,,,,,,,,,Example Project Name,,,,,,,,,,,,,
,W_A_6,W_ER_3,Req,Proposal Name,Example Proposal Name,Example Proposal Name,,,,,,,,,,Example Proposal Name,,,,,,,,,,,,,
,W_A_7,W_ER_4,Req,Scenario Name,Example Scenario Name,Example Scenario Name,,,,,,,,,,Example Scenario Name,,,,,,,,,,,,,
,W_A_403,W_ER_5,Req,E&C Scenario Name,Example E&C Scenario Name,Example E&C Scenario Name,,,,,,,,,,Example E&C Scenario Name,,,,,,,,,,,,,
,W_A_407,W_ER_6,Req,Project P-Num,P-1234,C4.006171,,,,,,,,,,P-1234,,,,,,,,,,,,,
,W_A_408,W_ER_136,Req,Project ID,1234,,,,,,,,,,,,,,,,,,,,,,,,
,W_A_409,W_ER_137,Req,Proposal ID,5678,,,,,,,,,,,,,,,,,,,,,,,,
,W_A_410,W_ER_138,Req,Scenario ID,3456,,,,,,,,,,,,,,,,,,,,,,,,
,W_A_148,W_ER_7,Req,Project Energy / Utility,Energy,Energy,,,,,,,,,,Energy,,,,,,,,,,,,,
,W_A_8,W_ER_8,Req,Date of Request,01-12-23,01-29-24,,,,,,,,,,03-25-22,,,,,,,,,,,,,
,W_A_9,W_ER_9,Req,Date Product Needed,01-12-23,02-12-24,,,,,,,,,,03-25-22,,,,,,,,,,,,,
,W_A_12,W_ER_10,,Project Information,F,G,H,I,J,K,L,M,N,O,P,F,,,,,,,,,,,,,
,W_A_411,W_ER_139,Req,Project Maturity Index,Diligencing,Diligencing,,,,,,,,,,,,,,,,,,,,,,,
,W_A_13,W_ER_11,Req,"Project Location, State",TX,WA,,,,,,,,,,TX,,,,,,,,,,,,,
,W_A_15,W_ER_12,Calc,"Name Plate Rating, Mwe (Nominal) AC",169.20,298.92,,,,,,,,,,171.24,,,,,,,,,,,,,
,W_A_16,W_ER_13,Req,Independent System Operator / Regional Transmission Organization,ERCOT,,,,,,,,,,,ERCOT,,,,,,,,,,,,,
,W_A_17,W_ER_14,Req,Interconnecting Utility,Other,Other,,,,,,,,,,Other,,,,,,,,,,,,,
,,W_ER_15,,Construction Schedule,,,,,,,,,,,,,,,,,,,,,,,,,
,W_A_28,W_ER_16,Req,Winter Break,Excluded,Excluded,,,,,,,,,,Excluded,,,,,,,,,,,,,
,,W_ER_17,Req,Rate of WTG Delivery (WTG Per Week),8,8,,,,,,,,,,8,,,,,,,,,,,,,
,,W_ER_18,Req,"Additional Schedule Duration Holidays, Weather, etc. (Weeks)",2,2,,,,,,,,,,2,,,,,,,,,,,,,
,W_A_23,W_ER_19,Calc,Earliest Start Date (site work),06-05-24,04-26-28,,,,,,,,,,06-03-24,,,,,,,,,,,,,
,W_A_24,W_ER_20,Calc,First WTG Delivered,08-28-24,07-19-28,,,,,,,,,,08-26-24,,,,,,,,,,,,,
,W_A_25,W_ER_21,Calc,Backfeed Power Date (Sub In Service),11-03-24,08-09-28,,,,,,,,,,11-03-24,,,,,,,,,,,,,
,W_A_26,W_ER_22,Req,Intended COD,12-01-24,12-01-28,,,,,,,,,,12-01-24,,,,,,,,,,,,,
,,W_ER_23,,Wind Turbines,,,,,,,,,,,,,,,,,,,,,,,,,
,W_A_31,W_ER_24,Calc,Turbine 1 Name,GE-2.82-127-89,GE-2.82-127-89,,,,,,,,,,GE-2.82-127-89,,,,,,,,,,,,,
,,W_ER_25,Req,Turbine 1 Type,Direct Ship WTG Type 1:,Direct Ship WTG Type 1:,,,,,,,,,,Direct Ship WTG Type 1:,,,,,,,,,,,,,
,W_A_32,W_ER_26,Req,"Number of Turbine 1 Turbines, Total Ea.",50,106,,,,,,,,,,50,,,,,,,,,,,,,
,W_A_33,W_ER_27,Req,  Turbine Manufacture,GE,GE,,,,,,,,,,GE,,,,,,,,,,,,,
,W_A_34,W_ER_28,Req,  Turbine Size / Mwe (Nominal),2.82,2.82,,,,,,,,,,2.82,,,,,,,,,,,,,
,W_A_35,W_ER_29,Req,  Turbine Rotor Dia (Meters),127,127,,,,,,,,,,127,,,,,,,,,,,,,
,W_A_37,W_ER_30,Req,  Turbine Tower Height (Meters),89,89,,,,,,,,,,89,,,,,,,,,,,,,
,W_A_39,W_ER_31,Calc,Turbine 2 Name,GE-2.82-127-89,GE-2.82-127-89,,,,,,,,,,GE-2.52-116-80,,,,,,,,,,,,,
,,W_ER_32,Req,Turbine 2 Type,Safe Harbor WTG Type 1:,,,,,,,,,,,Direct Ship WTG Type 2:,,,,,,,,,,,,,
,W_A_40,W_ER_33,Req,"Number of Turbine 2 Turbines, Total Ea.",10,0,,,,,,,,,,12,,,,,,,,,,,,,
,W_A_41,W_ER_34,Req,  Turbine Manufacture,GE,GE,,,,,,,,,,GE,,,,,,,,,,,,,
,W_A_42,W_ER_35,Req,  Turbine Size / Mwe (Nominal),2.82,2.82,,,,,,,,,,2.52,,,,,,,,,,,,,
,W_A_43,W_ER_36,Req,  Turbine Rotor Dia (Meters),127,127,,,,,,,,,,116,,,,,,,,,,,,,
,W_A_45,W_ER_37,Req,  Turbine Tower Height (Meters),89,89,,,,,,,,,,80,,,,,,,,,,,,,
,W_A_31,W_ER_38,Calc,Turbine 3 Name,GE-2.82-127-114,GE-2.82-127-89,,,,,,,,,,GE-2.82-127-89,,,,,,,,,,,,,
,,W_ER_39,Req,Turbine 3 Type,Direct Ship WTG Type 3:,,,,,,,,,,,Direct Ship WTG Type 3:,,,,,,,,,,,,,
,,W_ER_40,Req,"Number of Turbine 3 Turbines, Total Ea.",0,0,,,,,,,,,,0,,,,,,,,,,,,,
,,W_ER_41,Req,  Turbine Manufacture,GE,GE,,,,,,,,,,GE,,,,,,,,,,,,,
,,W_ER_42,Req,  Turbine Size / Mwe (Nominal),2.82,2.82,,,,,,,,,,2.82,,,,,,,,,,,,,
,,W_ER_43,Req,  Turbine Rotor Dia (Meters),127,127,,,,,,,,,,127,,,,,,,,,,,,,
,,W_ER_44,Req,  Turbine Tower Height (Meters),114,89,,,,,,,,,,89,,,,,,,,,,,,,
,,W_ER_45,Calc,Turbine 4 Name,GE-3.4-140-98,GE-2.82-127-89,,,,,,,,,,GE-2.82-127-89,,,,,,,,,,,,,
,,W_ER_46,Req,Turbine 4 Type,Safe Harbor WTG Type 1:,,,,,,,,,,,Safe Harbor WTG Type 1:,,,,,,,,,,,,,
,,W_ER_47,Req,"Number of Turbine 4 Turbines, Total Ea.",0,0,,,,,,,,,,0,,,,,,,,,,,,,
,,W_ER_48,Req,  Turbine Manufacture,GE,GE,,,,,,,,,,GE,,,,,,,,,,,,,
,,W_ER_49,Req,  Turbine Size / Mwe (Nominal),3.40,2.82,,,,,,,,,,2.82,,,,,,,,,,,,,
,,W_ER_50,Req,  Turbine Rotor Dia (Meters),140,127,,,,,,,,,,127,,,,,,,,,,,,,
,,W_ER_51,Req,  Turbine Tower Height (Meters),98,89,,,,,,,,,,89,,,,,,,,,,,,,
,,W_ER_52,,Project Options,,,,,,,,,,,,,,,,,,,,,,,,,
,W_A_48,W_ER_53,Req,Aircraft Detection Lighting System (ADLS) Required?,No,Yes,,,,,,,,,,No,,,,,,,,,,,,,
,W_A_144,W_ER_54,Req,WTG Option - Precommissioning,No,Yes,,,,,,,,,,No,,,,,,,,,,,,,
,W_A_143,W_ER_55,Req,Load Bank Commissioning,Yes,No,,,,,,,,,,Yes,,,,,,,,,,,,,
,W_A_76,W_ER_56,Req,O & M Building ,Bldg A - 2550 SF,O&M Bldg B1 - 3150 SQFT,,,,,,,,,,O&M Bldg A - 2550 SQFT,,,,,,,,,,,,,
,W_A_404,W_ER_57,Req,Permanent MET Tower Type,New Monopole Tower - Hub Height,New Monopole Tower - Hub Height,,,,,,,,,,New Monopole Tower - Hub Height,,,,,,,,,,,,,
,W_A_405,W_ER_58,Req,Permanent MET Tower Quantity (Each),1,1,,,,,,,,,,1,,,,,,,,,,,,,
,W_A_145,W_ER_59,Req,Construction Requirements ,Non-Union,Union,,,,,,,,,,Non-Union,,,,,,,,,,,,,
,,W_ER_60,,Electrical Interconnection Requirements,,,,,,,,,,,,,,,,,,,,,,,,,
,,W_ER_61,Req,POI kV Operating Voltage,215,500,,,,,,,,,,215,,,,,,,,,,,,,
,W_A_106,W_ER_62,Req,Standardized Design Voltage,230,500,,,,,,,,,,230,,,,,,,,,,,,,
,,W_ER_63,,Point of Interconnection Facilities,,,,,,,,,,,,,,,,,,,,,,,,,
,W_A_118,W_ER_64,Req,Interconnect Switchyard,Excluded,Excluded,,,,,,,,,,Excluded,,,,,,,,,,,,,
,,W_ER_65,,Transmission Line,,,,,,,,,,,,,,,,,,,,,,,,,
,W_A_120,W_ER_66,Req,"Transmission Line, Distance (Miles)",0,15,,,,,,,,,,0,,,,,,,,,,,,,
,,W_ER_67,Calc,Transmission Design Load Check,OK,OK,,,,,,,,,,OK,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
